BndEquGlat BndEquMlat BndEquMlon BndGlon BndPolGlat BndPolMlat BndPolMlon date minTecGlat minTecMlat minTecMlon minTecVal
48.0 54.0609021854 32.078326177 -52.0 57.0 63.3802749763 34.1295385836 "2011-02-05 02:57:30" 52.0 58.2413735396 32.839808221 2.2
54.0 52.7000860743 -100.552864747 -162.0 63.0 61.8856039779 -104.341145591 "2011-02-05 02:57:30" 58.0 56.7630976148 -102.01463079 6.4
54.0 52.8574002172 -99.7136012765 -161.0 62.0 61.0085400904 -103.012892346 "2011-02-05 02:57:30" 58.0 56.9167690204 -101.192578834 6.2
55.0 59.8790186003 -70.2183751773 -129.0 61.0 65.7477223849 -73.0379010992 "2011-02-05 02:57:30" 58.0 62.825235343 -71.5183298063 1.6
37.0 45.8052847596 -43.8261949689 -110.0 46.0 54.6310941819 -45.5113493015 "2011-02-05 02:57:30" 40.0 48.7379674881 -44.3537624757 2.2
36.0 45.0077220816 -42.4884540109 -109.0 43.0 51.8548654598 -43.6912091182 "2011-02-05 02:57:30" 38.0 46.9573240466 -42.8165235125 2.2
54.0 51.827017794 82.9393965688 4.0 64.0 62.7521616678 87.4928812621 "2011-02-05 02:57:30" 57.0 55.2223478407 84.0565665886 0.5
58.0 55.7673055109 -107.671461186 -169.0 66.0 64.0358843081 -111.538639343 "2011-02-05 02:57:30" 62.0 59.8985868705 -109.348950244 6.4
58.0 56.0371166129 -106.070796121 -167.0 64.0 62.2242764093 -108.820813166 "2011-02-05 02:57:30" 60.0 58.0952927057 -106.876072894 6.45
51.0 49.3866049908 -101.305430639 -164.0 62.0 60.5715998372 -105.41536784 "2011-02-05 02:57:30" 58.0 56.4640896825 -103.647349384 6.4
55.0 54.0266358783 -99.2198174955 -160.0 62.0 61.1594366859 -102.203743908 "2011-02-05 02:57:30" 59.0 58.0932231105 -100.78798809 6.4
55.0 60.0786820356 -69.1465803607 -128.0 62.0 66.904812359 -72.5242378239 "2011-02-05 02:57:30" 58.0 63.021876418 -70.4398584784 1.7
49.0 58.070416751 -42.3182156039 -107.0 55.0 63.8932404583 -43.7228346225 "2011-02-05 02:57:30" 52.0 60.9941347568 -42.9695137717 1.9
48.0 57.2492051942 -40.8190478749 -106.0 55.0 64.0405296328 -42.3590988123 "2011-02-05 02:57:30" 51.0 60.1748343141 -41.416733462 2.35
46.0 56.1395459051 -32.5093429977 -100.0 52.0 61.9413273349 -33.3489537895 "2011-02-05 02:57:30" 49.0 59.0479298698 -32.8971734352 2.2
