dst_med BndMlon BndEquMlat BndEquTecVal BndPolMlat BndPolTecVal minTecMlat minTecVal BndMLT BndNormMLT
-57.0 283.4 52.91 8.59 62.22 6.96 57.78 4.43 21.4 -2.6
-5.0 292.1 55.5 7.52 63.85 7.33 59.57 4.41 21.5 -2.5
-95.0 260.77 50.13 11.47 59.44 8.63 54.68 5.14 21.5 -2.5
-18.0 297.29 54.76 7.6 63.57 7.42 59.09 4.78 21.5 -2.5
-36.0 292.63 53.45 7.13 62.49 6.92 57.98 4.14 21.5 -2.5
-57.0 283.81 53.1 8.6 62.46 7.0 57.92 4.47 21.5 -2.5
-5.0 292.74 55.15 7.5 63.81 7.45 59.51 4.42 21.6 -2.4
-95.0 260.62 49.89 11.95 59.64 8.85 54.75 5.13 21.6 -2.4
-18.0 297.14 54.64 7.76 63.57 7.41 59.09 4.73 21.6 -2.4
-36.0 288.36 53.31 7.19 62.47 6.81 57.96 4.18 21.6 -2.4
-57.0 281.12 52.97 8.51 62.27 7.11 57.82 4.52 21.6 -2.4
-5.0 291.06 54.71 7.51 63.18 7.42 59.03 4.42 21.7 -2.3
-95.0 258.81 50.07 11.43 59.41 8.49 54.74 5.16 21.7 -2.3
-18.0 296.33 54.32 7.58 63.38 7.49 58.8 4.7 21.7 -2.3
-36.0 287.08 53.2 7.11 62.43 6.84 57.86 4.1 21.7 -2.3
-57.0 284.09 52.82 8.77 62.13 7.22 57.63 4.6 21.7 -2.3
-5.0 288.2 54.93 7.35 63.64 7.23 59.27 4.4 21.8 -2.2
-95.0 250.19 50.02 11.57 59.59 8.74 54.64 5.22 21.8 -2.2
-18.0 297.92 54.25 7.47 63.19 7.48 58.69 4.68 21.8 -2.2
-36.0 287.18 53.09 7.06 62.3 6.79 57.73 4.07 21.8 -2.2
-57.0 275.49 52.63 8.76 61.93 7.11 57.52 4.56 21.8 -2.2
-5.0 290.09 54.87 7.26 63.78 7.31 59.35 4.42 21.9 -2.1
-95.0 257.13 49.92 11.42 59.58 8.48 54.56 5.16 21.9 -2.1
-18.0 298.02 54.2 7.45 63.24 7.54 58.63 4.72 21.9 -2.1
-36.0 285.48 53.09 7.02 62.25 6.77 57.73 4.1 21.9 -2.1
-57.0 276.24 52.77 8.63 62.0 7.07 57.55 4.56 21.9 -2.1
-5.0 287.39 54.64 7.03 63.64 7.25 59.13 4.22 22.0 -2.0
-95.0 261.55 50.02 11.54 59.64 8.65 54.71 5.24 22.0 -2.0
-18.0 299.77 54.06 7.38 63.14 7.49 58.54 4.67 22.0 -2.0
-36.0 280.6 53.21 7.04 62.37 6.79 57.76 4.07 22.0 -2.0
-57.0 273.64 52.44 8.64 61.79 7.03 57.3 4.54 22.0 -2.0
-5.0 287.5 54.42 6.9 63.46 7.36 58.96 4.41 22.1 -1.9
-95.0 254.9 49.93 11.26 59.63 8.74 54.54 5.17 22.1 -1.9
-18.0 298.98 53.91 7.43 63.12 7.47 58.5 4.69 22.1 -1.9
-36.0 279.48 53.03 6.95 62.14 6.75 57.57 4.06 22.1 -1.9
-57.0 277.71 52.33 8.91 61.59 7.19 57.19 4.76 22.1 -1.9
-5.0 284.73 54.53 6.76 63.55 7.32 59.07 4.34 22.2 -1.8
-95.0 250.05 49.67 10.94 59.25 8.2 54.29 5.02 22.2 -1.8
-18.0 300.21 54.01 7.39 63.17 7.47 58.53 4.67 22.2 -1.8
-36.0 276.77 52.86 7.02 61.96 6.76 57.5 4.1 22.2 -1.8
-57.0 265.88 52.11 8.84 61.41 7.12 57.06 4.67 22.2 -1.8
-5.0 286.14 54.13 6.64 63.54 7.32 58.71 4.22 22.3 -1.7
-95.0 259.07 49.54 10.64 59.31 8.18 54.23 5.01 22.3 -1.7
